training-00001,cocoa
training-00005,barley,corn,grain,oat,sorghum,wheat
training-00006,corn,grain,lin-oil,oilseed,sorghum,soy-oil,soybean,sun-oil,sunseed,veg-oil,wheat
training-00009,earn
training-00010,acq
training-00011,earn
training-00012,acq,earn
training-00013,earn
training-00014,earn
training-00018,earn
training-00019,grain,wheat
training-00022,copper
training-00023,earn
training-00024,earn
training-00027,earn
training-00029,housing
training-00030,money-supply
training-00036,earn
training-00037,earn
training-00038,earn
training-00040,earn
training-00041,earn
training-00042,coffee
training-00044,acq,ship
training-00045,acq
training-00046,sugar
training-00047,trade
training-00048,reserves
training-00049,ship
training-00050,earn
training-00053,earn
training-00056,earn
training-00057,corn,grain
training-00058,money-supply
training-00059,ship
training-00064,earn
training-00065,earn
training-00066,earn
training-00068,acq
training-00069,meal-feed,oilseed,soy-meal,soybean,veg-oil
training-00071,earn
training-00074,earn
training-00075,coffee
training-00076,money-supply
training-00077,money-supply
training-00078,money-supply
training-00080,money-supply
training-00081,money-supply
training-00082,earn
training-00083,earn
training-00085,earn
training-00086,earn
training-00087,earn
training-00089,earn
training-00092,money-supply
training-00093,earn
training-00094,money-supply
training-00095,money-supply
training-00096,acq
training-00097,corn,grain,oat,oilseed,rye,sorghum,soybean,wheat
training-00098,earn
training-00099,money-supply
training-00100,money-supply
training-00101,money-supply
training-00102,money-supply
training-00103,money-supply
training-00104,cotton
training-00105,sugar
training-00106,grain,ship
training-00108,earn
training-00109,money-supply
training-00110,acq
training-00111,money-supply
training-00113,earn
training-00121,carcass,livestock
training-00123,earn
training-00124,grain
training-00125,acq
training-00126,earn
training-00127,crude
training-00128,acq
training-00129,earn
training-00130,earn
training-00132,money-supply
training-00133,money-supply
training-00134,acq
training-00135,acq
training-00136,grain
training-00138,earn
training-00139,earn
training-00140,earn
training-00142,earn
training-00143,earn
training-00144,crude
training-00145,earn
training-00146,earn
training-00147,earn
training-00151,earn
training-00152,earn
training-00153,acq
training-00157,acq
training-00160,earn
training-00162,acq
training-00163,earn
training-00164,earn
training-00165,earn
training-00166,earn
training-00167,earn
training-00168,earn
training-00169,earn
training-00176,nat-gas
training-00179,cpi,gnp
training-00180,grain,wheat
training-00183,earn
training-00185,acq
training-00186,acq
training-00187,earn
training-00189,crude
training-00191,crude
training-00193,corn,grain
training-00194,crude
training-00196,earn
training-00197,corn,grain,oat
training-00198,money-supply
training-00199,acq
training-00200,meal-feed,oilseed,soy-meal,soy-oil,soybean,veg-oil
training-00201,earn
training-00202,earn
training-00203,money-supply
training-00209,cpi,gnp
training-00210,earn
training-00211,crude
training-00212,earn
training-00213,cpi
training-00214,earn
training-00216,money-supply
training-00220,money-supply
training-00221,interest,money-fx
training-00225,interest
training-00227,bop,gnp
training-00228,grain,rice
training-00229,oilseed,soybean
training-00232,coffee
training-00233,interest
