fileName,subject
b68729fc92.txt,math
9988303952.txt,countries
ff08a9c0ad.txt,finance
98de5ab7f4.txt,finance
eaba75f364.txt,cs
c9f275e6b8.txt,countries
a5bff7c754.txt,finance
ec563c4aee.txt,math
98f61682d3.txt,electronics
81c4af628a.txt,finance
4394c40054.txt,math
1649f7d109.txt,countries
792b53fe82.txt,electronics
e5b3589037.txt,countries
fa190e115c.txt,finance
a6f9d0398a.txt,math
5fa1dfae47.txt,finance
231f45ec05.txt,countries
016357cc57.txt,math
a32822000b.txt,countries
3224861c1e.txt,math
bd6a81e2e8.txt,finance
d042d1bd4f.txt,cs
f3c8838a16.txt,countries
e24ab805b1.txt,math
77f17ff72d.txt,finance
a5d35142ac.txt,math
1191511baa.txt,countries
e299ad7a40.txt,electronics
06e0c0ddda.txt,countries
2d42288006.txt,cs
9f8faba84e.txt,math
7cac6a41ed.txt,countries
da3daeaf92.txt,math
b5ebf6572f.txt,finance
2cee2d3523.txt,finance
76092abb68.txt,electronics
7aaa89f41a.txt,cs
35960dfda2.txt,finance
74a6bf473d.txt,electronics
24b5513c39.txt,math
5a344ae05a.txt,electronics
d1fe137d10.txt,math
56247975bd.txt,countries
d5b2bb2922.txt,finance
f5d98101ee.txt,cs
ede5210925.txt,countries
cb0148d812.txt,cs
5c6021f1c0.txt,finance
09f308101b.txt,math
